Start,Open,High,Low,Close,Volume,Turnover
2022-10-31,20480,20689,20318,20472.5,84949.959,1740792765.6605000496
2022-10-30,20613.5,20832,20222,20480,133753.094,2741806576.2715001106
2022-10-29,20795,20920,20500,20613.5,73792.511,1527030629.4214999676
2022-10-28,20585,21100,20551,20795,127835.2,2659972816.1704998016
2022-10-27,20283,20738,19963,20585,167248.893,3403155218.8020000458
2022-10-26,20756,20861.5,20182.5,20283,174645.009,3590444935.6805000305
2022-10-25,20067,21009,20041,20756,231429.972,4771545054.5725002289
2022-10-24,19317,20400,19223.5,20067,225625.032,4473972575.1280002594
2022-10-23,19559,19590,19155,19317,127421.933,2463333734.8010001183
2022-10-22,19189.5,19683.5,19050,19559,95538.339,1851120824.4230000973
2022-10-21,19153,19239.5,19102,19189.5,41575.307,797065799.8980000019
2022-10-20,19041.5,19247,18621.5,19153,164389.181,3123272022.7960000038
2022-10-19,19121.5,19345,18865,19041.5,159295.121,3045001250.7154998779
2022-10-18,19320.5,19345,19061,19121.5,121991.782,2341125227.451499939
2022-10-17,19540,19694,19080,19320.5,181913.401,3534559136.2740001678
2022-10-16,19252.5,19668,19144.5,19540,145940.45,2838517772.2140002251
2022-10-15,19063,19411,19062.5,19252.5,73765.565,1417287453.0510001183
2022-10-14,19171.5,19216.5,18962,19063,63382.764,1211427646.9130001068
2022-10-13,19366,19944,19061,19171.5,218232.252,4262707464.2435002327
2022-10-12,19148,19522,18071,19366,351066.681,6600104786.4849996567
2022-10-11,19052.5,19227.5,18949.5,19148,108026.384,2063525254.0239999294
2022-10-10,19122.5,19258,18850,19052.5,164548.635,3136114063.6599998474
2022-10-09,19436.5,19522.5,18973.5,19122.5,159511.397,3073032849.5535001755
2022-10-08,19405,19552,19300,19436.5,76579.537,1488752811.2650001049
2022-10-07,19517.5,19614,19175,19405,75088.164,1459763820.5464999676
2022-10-06,19954.5,20078,19318,19517.5,209138.036,4116605688.8984999657
2022-10-05,20149,20435,19836.5,19954.5,222333.898,4476645331.263999939
2022-10-04,20326.5,20354.5,19734.5,20149,215159.621,4317952466.3830003738
2022-10-03,19617.5,20451,19482.5,20326.5,234197.54,4681309243.5585002899
2022-10-02,19054,19720,18947,19617.5,182102.476,3523789432.9450001717
2022-10-01,19302.5,19385.5,18890.5,19054,115315.295,2210107052.234000206
2022-09-30,19409.5,19473.5,19150.5,19302.5,80900.681,1561719816.5820000172
2022-09-29,19579.5,20165,19135.5,19409.5,303098.895,5934451158.3365001678
2022-09-28,19407,19638.5,18831,19579.5,311643.49,6019271984.1995000839
2022-09-27,19071,19791,18453,19407,323115.662,6177148673.2185001373
2022-09-26,19213.5,20383.5,18798.5,19071,368927.438,7258993692.0284996033
2022-09-25,18800,19318.5,18670,19213.5,216929.405,4129383225.2125000954
2022-09-24,18911,19185,18620.5,18800,112302.887,2126865806.1319999695
2022-09-23,19282,19299,18801.5,18911,105000.05,2000748772.0969998837
2022-09-22,19394.5,19486.5,18524.5,19282,227015.701,4302731936.140999794
2022-09-21,18446.5,19518.5,18345,19394.5,229285.487,4355056277.3564996719
2022-09-20,18870,20045,18100,18446.5,430812.458,8223976186.6405000687
2022-09-19,19527.5,19626,18716,18870,233982.657,4470774689.0174999237
2022-09-18,19408.5,19675,18110,19527.5,295437.829,5603294860.6260004044
2022-09-17,20106,20106,19333,19408.5,129018.12,2548889502.9079999924
2022-09-16,19790.5,20176.5,19734,20106,91064.363,1817316174.9379999638
2022-09-15,19692.5,19878.5,19315,19790.5,147291.942,2893660082.3744997978
2022-09-14,20220,20319,19472,19692.5,184059.145,3668303923.8130002022
2022-09-13,20164,20518,19590.5,20220,193037.099,3887555995.7880001068
2022-09-12,22388.5,22794,19835,20164,358892.48,7671431481.7285003662
2022-09-11,21810,22488,21530.5,22388.5,226110.705,5000804750.579000473
2022-09-10,21632.5,21879.5,21333,21810,112941.258,2439528172.8134999275
2022-09-09,21350.5,21798,21113,21632.5,132024.899,2828023582.4809999466
2022-09-08,19304.5,21666,19284.5,21350.5,320042.613,6627498516.1885004044
2022-09-07,19287,19440,19010.5,19304.5,164517.702,3163707638.9264998436
2022-09-06,18782.5,19447.5,18451,19287,172911.844,3273458410.5260000229
2022-09-05,19780,20164.5,18617,18782.5,275596.422,5370538559.2084999084
2022-09-04,19986.5,20044.5,19623,19780,117679.691,2328181377.1265001297
2022-09-03,19821.5,20018,19585,19986.5,105675.389,2091615561.7304999828
2022-09-02,19940.5,20043,19642,19821.5,78200.08,1549411104.7899999619
2022-09-01,20124.5,20428,19745.5,19940.5,186555.394,3750124335.3874998093
2022-08-31,20050.5,20197.5,19560,20124.5,182842.667,3639940477.8194999695
2022-08-30,19803.5,20499.5,19791.5,20050.5,189156.631,3817718816.4274997711
2022-08-29,20277.5,20569,19530,19803.5,214009.16,4290328465.2975001335
2022-08-28,19548,20430,19547.5,20277.5,164936.799,3301490137.9194998741
2022-08-27,20027.5,20174,19511,19548,108571.351,2164006029.2989997864
2022-08-26,20230.5,20366,19761,20027.5,134166.864,2693828487.679500103
2022-08-25,21549.5,21869,20085,20230.5,283597.693,5987852670.0500001907
2022-08-24,21353,21810,21303.5,21549.5,118494.963,2558748641.0450000763
2022-08-23,21516.5,21880,21138.5,21353,153767.897,3303271452.2940001488
2022-08-22,21382.5,21678.5,20885,21516.5,169079.107,3614080417.2204999924
2022-08-21,21505.5,21538,20858,21382.5,182711.163,3877174265.4340000153
2022-08-20,21124,21780,21060.5,21505.5,134458.04,2877974041.9829998016
2022-08-19,20819,21365,20730,21124,153410.543,3240954954.4400000572
2022-08-18,23188,23198,20754.5,20819,312308.071,6782201415.4764995575
2022-08-17,23327,23581,23100,23188,95974.879,2244739588.0659999847
2022-08-16,23839,24436.5,23166,23327,186551.417,4422850762.6750001907
2022-08-15,24080.5,24227,23665,23839,127320.366,3045033525.4114999771
2022-08-14,24290.5,25199,23760,24080.5,215486.838,5245742107.4890003204
2022-08-13,24420,25031,24109,24290.5,123551.958,3031987316.4260001183
2022-08-12,24378.5,24867,24283,24420,111639.449,2738684678.6220002174
2022-08-11,23927,24430,23557,24378.5,133422.141,3195918024.5999999046
2022-08-10,23940,24950,23850,23927,209728.839,5120573193.8164997101
2022-08-09,23139,24223,22521,23940,209989.145,4945266380.7060003281
2022-08-08,23809.5,23910,22847.5,23139,132114.086,3082436863.4200000763
2022-08-07,23167,24236.5,23145.5,23809.5,152556.525,3638036848.0085000992
2022-08-06,22950,23388.5,22846,23167,73142.274,1688423515.8255000114
2022-08-05,23298,23333,22894,22950,59369.978,1374581190.739000082
2022-08-04,22602.5,23494,22575.5,23298,172360.838,3979821216.5654997826
2022-08-03,22813,23201,22350,22602.5,160881.926,3670109836.3014998436
2022-08-02,22972,23655,22679.5,22813,154188.735,3577826543.4400000572
2022-08-01,23250,23467.5,22640.5,22972,170738.762,3921948497.0194997787
2022-07-31,23290.5,23490,22825,23250,144307.71,3344408113.6810002327
2022-07-30,23629.5,24182.5,23224,23290.5,109755.393,2599636803.3365001678
2022-07-29,23764.5,24695,23506,23629.5,138136.392,3328160739.0095000267
2022-07-28,23839,24475,23418,23764.5,187817.931,4485008426.8400001526
2022-07-27,22938,24198,22582,23839,233819.245,5456645087.0935001373
2022-07-26,21232,23105,21040,22938,224361.134,4927423991.0205001831
2022-07-25,21301,21336,20691,21232,161737.374,3397541808.6475000381
2022-07-24,22573.5,22658.5,21233,21301,200206.557,4384352605.123000145
2022-07-23,22434.5,22990,22254.5,22573.5,134713.685,3052101390.8854999542
2022-07-22,22676.5,22987.5,21937,22434.5,144358.981,3238169332.7795000076
2022-07-21,23143.5,23765,22487,22676.5,196533.202,4554678446.9960002899
2022-07-20,23220,23428,22345.5,23143.5,219452.862,5018860048.5865001678
2022-07-19,23385.5,24277,22872,23220,309662.888,7303650679.2720003128
2022-07-18,22423,23807.5,21582,23385.5,349351.714,7923290125.6514997482
2022-07-17,20799,22779.5,20763,22423,301386.114,6617906850.1774997711
2022-07-16,21190.5,21669,20745,20799,139386.413,2959122989.4320001602
2022-07-15,20822.5,21576,20469.5,21190.5,153827.313,3230021298.9724998474
2022-07-14,20583,21195.5,20365,20822.5,199847.858,4158288424.8435001373
2022-07-13,20215.5,20899,19575,20583,249702.25,5035121202.7250003815
2022-07-12,19323.5,20346,18867.5,20215.5,305252.967,5973630620.2475004196
2022-07-11,19959.5,20046.5,19219.5,19323.5,209788.632,4137822144.2595000267
2022-07-10,20849,20851,19855,19959.5,184038.932,3761009334.5634999275
2022-07-09,21588,21597.5,20652,20849,160482.783,3382677144.5095000267
2022-07-08,21590,21980,21310,21588,121382.403,2624476535.1284999847
2022-07-07,21596,22600,21184,21590,289375.528,6294780777.7674999237
2022-07-06,20556.5,21818,20248,21596,235064.51,4925294699.8795003891
2022-07-05,20170,20666,19737,20556.5,213468.577,4307667025.7585000992
2022-07-04,20220.5,20750,19262.5,20170,321136.243,6410823909.5509996414
2022-07-03,19306,20370,19039,20220.5,218635.992,4304193044.611000061
2022-07-02,19246,19638.5,18777,19306,151515.372,2905095681.132999897
2022-07-01,19271,19450,18960,19246,126812.293,2438261737.2649998665
2022-06-30,19925.5,21017.5,18938,19271,313631.306,6161281537.1014995575
2022-06-29,20104.5,20156.5,18601,19925.5,312001.872,6001064875.2084999084
2022-06-28,20273.5,20433,19820,20104.5,204302.193,4109660635.5514998436
2022-06-27,20730.5,21197.5,20190,20273.5,202468.436,4194968952.757999897
2022-06-26,21032,21580,20500,20730.5,184703.37,3876164435.9000000954
2022-06-25,21476,21880,20958.5,21032,145666.424,3114819728.3014998436
2022-06-24,21232,21630,20900,21476,142820.521,3036755738.2129998207
2022-06-23,21095,21556.5,20728.5,21232,219774.264,4638174992.4084997177
2022-06-22,19980,21240,19861.5,21095,219782.656,4521874035.8964996338
2022-06-21,20715.5,20885.5,19703,19980,270334.774,5488285900.3439998627
2022-06-20,20568,21722,20336,20715.5,246895.4,5199927134.4744997025
2022-06-19,20567.5,21125,19624,20568,302417.597,6158094299.2670001984
2022-06-18,18964.5,20820,17953,20567.5,371735.95,7204777689.470000267
2022-06-17,20454.5,20769.5,17600,18964.5,391677.742,7424116971.6999998093
2022-06-16,20385,21355,20230,20454.5,209825.352,4348359829.7045001984
2022-06-15,22574,22976.5,20228,20385,242730.554,5176517754.4224996567
